Time,Open,High,Low,Close,Volume
2022-7-3,58,58.5,57.8,58,251577
2022-7-4,57.8,58.6,57.7,58.1,320742
2022-7-5,58.2,59.5,58,58.2,639451
2022-7-6,58.2,58.7,57.5,57.7,361222
2022-7-7,58.2,58.4,57.7,58.1,219053
2022-7-12,57.7,58.7,57,57.3,353496
2022-7-13,57.3,57.6,56.2,56.3,465898
2022-7-14,56.9,57,55.5,56.5,305667
2022-7-17,56.1,57.4,56.1,56.5,222461
2022-7-18,56.2,56.2,55.4,55.4,189121
2022-7-19,54.3,54.3,54.3,54.3,227177
2022-7-20,53.4,55.5,53.3,54.8,267231
2022-7-21,55.7,55.7,53.8,53.8,272679
2022-7-24,54.8,54.8,52.8,52.8,216343
2022-7-25,52.1,54.2,51.8,53.8,322433
2022-7-26,55,56.4,53.7,54,732433
2022-7-27,54.1,54.4,53,53,241553
2022-7-28,52.1,52.4,52,52,284909
2022-7-31,53.1,54.7,53.1,54.1,380776
2022-8-1,54.4,56.6,54.1,56.3,754605
2022-8-2,56.6,58.3,56.3,57.8,1159715
2022-8-3,58.7,59.2,57.2,57.8,743144
2022-8-4,57.5,57.6,56.6,57,528817
2022-8-7,56.6,61.5,56.2,60,1781295
2022-8-8,60.6,61.9,58.8,59.3,1142371
2022-8-10,58.9,59.3,56.6,56.8,640370
2022-8-11,56.2,58,55.9,57.2,257696
2022-8-14,57.2,58.6,57.1,57.6,367156
2022-8-16,58.4,61,57.8,60.5,1312753
2022-8-17,57.9,61.9,57.9,60.4,1376387
2022-8-21,61.1,63.5,59.9,63,2600244
2022-8-22,64.5,65.5,62.5,62.9,2422794
2022-8-23,62.6,66.8,62.6,64,4018594
2022-8-24,64,66.9,63.9,66.4,2624259
2022-8-25,67,73,67,73,5736813
2022-8-28,76,80.3,74.4,80.1,6721893
2022-8-29,81.8,84.2,78.6,79.6,3782320
2022-8-30,79.8,87.5,78.7,87.5,5280564
2022-8-31,90,96.2,90,92.2,4459267
2022-9-1,90.5,101.4,90.5,101.4,5718250
2022-9-4,106,109,102.2,105.1,4825435
2022-9-5,104.5,106.2,94.6,94.7,5705505
2022-9-6,94.7,96.4,87.1,92.9,4638645
2022-9-7,95,97,83.8,85.7,5523189
2022-9-8,87.9,90.9,80,82.4,4060834
2022-9-11,84.8,90.1,82.6,86.3,3843168
2022-9-12,86.9,87.8,81,82.4,3433265
2022-9-13,83.1,84.5,77.1,79.3,3140386
2022-9-14,79.3,80.5,75.6,76.2,2323893
2022-9-15,77.9,82,76.5,79.6,1825942
2022-9-18,82,87.2,79.2,84.5,5345975
2022-9-19,86.6,92.9,86.1,92.9,3343820
2022-9-20,99.5,99.9,85,88.9,7038453
2022-9-21,88.5,90.7,83.4,84.7,2860665
2022-9-22,84,93.1,84,93.1,3458771
2022-9-25,95.6,100.9,93.1,94.5,5950372
