Time,Open,High,Low,Close,Volume
2022-1-2,169,172.7,167.1,170.9,1102506
2022-1-3,172,172.4,164.8,165.1,1107535
2022-1-4,165.8,168.9,164,164.9,1714337
2022-1-5,167,167.1,160.2,165.7,1066843
2022-1-6,166,167.9,160.7,161.4,500826
2022-1-9,162,163,159.5,160.1,699601
2022-1-10,161.9,163.8,160.1,160.7,634773
2022-1-11,161,163,160,160.4,394260
2022-1-12,160.5,161.9,153.6,157.8,884713
2022-1-13,158.1,158.2,153.5,154.9,271931
2022-1-16,156.9,159.3,152.9,155.3,289305
2022-1-17,157.8,157.8,153.3,154.9,867901
2022-1-18,157,157,152.9,153.6,285007
2022-1-19,155.4,155.4,150.8,152.3,383128
2022-1-20,152.3,153.8,149.7,151,321006
2022-1-23,152.8,160.8,148.5,155.7,1248148
2022-1-24,155,158.7,151,152.5,245433
2022-1-25,154.4,157,150,153.9,407872
2022-1-26,158,158.8,149.2,150.1,353892
2022-1-27,152.7,152.7,145.4,146.6,419152
2022-1-30,149,149,141.7,144.6,441930
2022-1-31,145,146,139.6,143.5,261652
2022-2-1,142.6,150,142.6,147.8,422102
2022-2-2,149,149,144,146.8,408150
2022-2-3,146.5,150.8,143.6,149,211612
2022-2-6,149.1,154.3,146.2,152.5,419576
2022-2-7,152.5,159.1,152.5,157.9,1176119
2022-2-8,158.5,159.9,154.3,156.5,1050968
2022-2-9,156.5,158,152.2,155.2,525184
2022-2-10,156.5,158,149,151,317966
2022-2-13,152.8,154.8,147.5,152.6,1238474
2022-2-14,154,166,151.4,163.6,1703918
2022-2-15,164.7,164.7,156.3,157.9,553474
2022-2-16,159,161.5,156,159.2,633727
2022-2-20,147.8,150.1,142.5,145.3,1097651
2022-2-22,146.1,147.3,144,145.7,355058
2022-2-23,146,146.9,141.1,142,334966
2022-2-24,143,143.6,137.1,137.8,358942
2022-2-27,136,137,131.1,135.5,368581
2022-2-28,138,139,133.3,137.4,433817
2022-3-1,138.4,138.6,136,136.6,285033
2022-3-2,138.8,138.8,134.1,136.7,220408
2022-3-3,137.8,137.8,133.2,135.5,115469
2022-3-6,137.4,137.4,131.3,132.1,111691
2022-3-7,131.1,132.8,123.5,125.3,280820
2022-3-8,128.7,128.7,118.2,122.8,185852
2022-3-9,127.9,135,126.4,134.4,820713
2022-3-10,136,144,134,137.1,1970829
2022-3-13,138,140.1,134.4,134.4,599218
2022-3-14,132.5,136.7,131.8,132.1,518902
2022-3-15,131.2,136,131,132.9,741412
2022-3-16,132.9,134.5,130.3,130.3,387596
2022-3-20,128.3,130,127.7,127.7,205015
2022-3-21,125.3,127.5,125.2,125.2,127957
2022-3-22,125.2,129.8,123.4,129,661887
2022-3-23,131,131.4,126.5,126.5,531440
2022-3-24,125,126.9,124,125,587973
2022-3-27,125.2,127.2,122.5,126.2,873101
2022-3-28,126.5,132.4,126.5,129,2959133
2022-3-29,132.1,134.9,126.5,126.8,4891732
2022-3-30,127.5,128.9,124.3,124.8,2678010
2022-3-31,125.8,128.3,123.1,124.1,5531948
