Time,Open,High,Low,Close,Volume
2022-1-2,89.5,91.8,89.5,90.3,14954
2022-1-3,90.3,92.1,89.7,90.9,44629
2022-1-4,92.5,99.9,92.4,99.8,204155
2022-1-5,100.5,100.5,95.6,96.1,53833
2022-1-6,97.9,99.9,94,94.8,69729
2022-1-9,95.1,101,95.1,97.1,92402
2022-1-10,100.3,106.7,98.6,99.3,226080
2022-1-11,102.7,102.7,95.7,96,95261
2022-1-12,96,96.5,93.6,93.7,83975
2022-1-13,94.1,97.3,93.1,96.7,36427
2022-1-16,98,100,96,96.3,71007
2022-1-17,98.9,102.6,96.3,100.6,147936
2022-1-18,102,104.9,100.5,102.9,159728
2022-1-19,103.9,105,99,100.9,128751
2022-1-20,102.7,103,97.5,97.8,47839
2022-1-23,98,100,96.5,97.1,67050
2022-1-24,97.7,101,96,96.4,68987
2022-1-25,98.8,98.8,96.2,96.6,24193
2022-1-26,99.7,99.7,94.5,94.9,61645
2022-1-27,97,97,94.2,95,58614
2022-1-30,94,96.7,92.4,95.1,19536
2022-1-31,95,95.4,93,93.2,27585
2022-2-1,97.8,97.8,92,93.9,36414
2022-2-2,97,98,94.1,97.3,38912
2022-2-3,98.9,99.9,96,96.5,64560
2022-2-6,95.9,98.3,95.2,96,53265
2022-2-7,97.8,98.5,96.5,97.1,84848
2022-2-8,98,98,96.4,96.7,70182
2022-2-9,95.6,99.5,95.5,98.3,84652
2022-2-10,99,106,99,101.7,191679
2022-2-13,104.7,104.7,99,99.2,48067
2022-2-14,101.8,102.9,96.2,96.6,71248
2022-2-15,98.8,98.8,96.4,97,21342
2022-2-16,97,97.8,96,96.2,33186
2022-2-17,97.5,97.5,95,95.2,45224
2022-2-20,95,95.7,94.1,95.2,54056
2022-2-22,96.7,96.7,95.1,95.4,47692
2022-2-23,95,96,94.4,94.8,42192
2022-2-24,94.9,95,92.1,92.5,58105
2022-2-27,90.5,90.5,85.5,87,56640
2022-2-28,92.9,92.9,87.6,88,11892
2022-3-1,89,91,87.1,87.5,49073
2022-3-2,87.8,90.6,86,88.5,51899
2022-3-3,90,90.8,88,89.1,33359
2022-3-6,89,89,86,86.3,50711
2022-3-7,86.6,86.6,82,83.8,25591
2022-3-8,83,87.9,83,83.7,12725
2022-3-9,85,87.5,85,86.9,25765
2022-3-10,86.9,88.3,86,86.5,37891
2022-3-13,89.6,89.6,86,86.3,41942
2022-3-14,86.6,88.9,86.5,87.3,30935
2022-3-15,88,88.3,87.6,87.7,27978
2022-3-16,87.7,88,86,86.8,35665
2022-3-20,86.8,87,85.1,85.1,37045
2022-3-21,86,86,83.4,84,32938
2022-3-22,84.7,85.5,83.5,83.8,34040
2022-3-23,86.9,86.9,83.7,84,28906
2022-3-24,85.5,86.5,84.6,84.9,61534
2022-3-27,86.5,86.5,84.7,85.7,60384
2022-3-28,86,86.2,84,84,72523
2022-3-29,85.2,85.2,83.4,84,48555
2022-3-30,85,86,85,85.7,40837
2022-3-31,85.7,88.9,85.6,88.1,123784
2022-4-3,87.6,91,87.5,90.3,114808
2022-4-4,90.3,92.7,88.5,88.5,73041
2022-4-5,89.6,90.7,86.8,87.3,89759
2022-4-6,87.3,87.3,85.6,85.7,8578
2022-4-7,85.7,85.8,84,84.1,21833
2022-4-10,88.8,88.8,83.3,86.1,2107
2022-4-11,84.7,86.9,84.5,84.7,9305
2022-4-12,87.1,87.1,83.3,83.8,7148
